ID;City;Weekdays_WE;Price;room_type;room_shared;room_private;person_capacity;host_is_superhost;multi_room;Buisness_noBuisness;cleanliness_rating;guest_satisfaction_overall;bedrooms;Center_dist;metro_dist;lng;lat
22796;Berlin;Weekdays;173,8805273;Private room;False;True;3;False;0;0;10;80;1;4,156709269;0,173857561;13,38002;52,55342
22797;Berlin;Weekdays;278,3490698;Private room;False;True;3;False;0;0;9;96;2;4,665714775;1,218935131;13,38968;52,56203
22798;Berlin;Weekdays;143,7318874;Entire home/apt;False;False;2;True;0;0;10;97;1;6,124402024;0,278445396;13,42709;52,46875
22799;Berlin;Weekdays;75,02103393;Shared room;True;False;6;False;0;1;7;87;1;4,579481559;0,989272822;13,38712;52,56047
22800;Berlin;Weekdays;110,3113022;Private room;False;True;2;True;0;0;10;96;1;2,943839642;0,61894452;13,39837;52,54745
22801;Berlin;Weekdays;486,8187342;Entire home/apt;False;False;6;False;0;0;10;98;3;1,577078488;0,56211938;13,40949;52,53693
22802;Berlin;Weekdays;179,4895765;Private room;False;True;2;False;0;0;10;100;1;5,390846903;0,311669458;13,35015;52,55004
22803;Berlin;Weekdays;150,743199;Private room;False;True;2;False;0;0;10;100;1;3,986034439;1,005953503;13,35945;52,53183
22804;Berlin;Weekdays;295,6436384;Entire home/apt;False;False;2;False;0;0;10;90;0;15,42294243;6,264272455;13,58449;52,43012
22805;Berlin;Weekdays;95,12012714;Private room;False;True;2;False;1;0;10;100;1;6,27450221;0,38061886;13,42552;52,46729
22806;Berlin;Weekdays;431,4293727;Entire home/apt;False;False;6;False;0;1;10;96;2;1,985490086;0,113243496;13,41156;52,54101
22807;Berlin;Weekdays;144,9004394;Private room;False;True;2;False;0;0;9;96;1;6,14442838;0,88078376;13,45352;52,47301
22808;Berlin;Weekdays;331,4013275;Entire home/apt;False;False;2;False;0;0;10;100;1;5,549618384;0,49222447;13,34967;52,49474
22809;Berlin;Weekdays;336,3092456;Entire home/apt;False;False;3;False;0;0;9;88;1;3,787724873;0,667187783;13,3608;52,52185
22810;Berlin;Weekdays;355,940918;Entire home/apt;False;False;4;False;0;0;10;90;2;2,903827235;0,402426063;13,408;52,549
22811;Berlin;Weekdays;116,1540619;Private room;False;True;2;False;0;0;10;100;1;6,155608552;0,678274671;13,42102;52,46816
22812;Berlin;Weekdays;148,4060952;Private room;False;True;3;False;1;0;10;100;1;5,168151034;0,332692787;13,42549;52,47729
22813;Berlin;Weekdays;663,5037861;Entire home/apt;False;False;5;True;0;0;10;94;2;1,402332142;0,415164991;13,40845;52,53502
22814;Berlin;Weekdays;370,8983827;Entire home/apt;False;False;4;False;1;0;8;83;0;4,772071585;0,430135343;13,348;52,533
22815;Berlin;Weekdays;2317,004768;Entire home/apt;False;False;4;False;0;0;10;80;1;4,014127697;0,603898769;13,37151;52,54682
22816;Berlin;Weekdays;139,2913901;Private room;False;True;2;False;0;0;10;100;1;5,642060753;0,560064065;13,33343;52,5245
22817;Berlin;Weekdays;347,9947649;Entire home/apt;False;False;3;False;1;0;10;100;1;1,344397094;0,137870333;13,39928;52,52934
22818;Berlin;Weekdays;109,1427503;Private room;False;True;2;False;0;0;9;98;1;5,199662192;0,019950446;13,34135;52,5324
22819;Berlin;Weekdays;79,92895204;Shared room;True;False;6;False;0;1;8;60;1;4,569432663;0,907445954;13,386;52,56003
22820;Berlin;Weekdays;84,60315976;Private room;False;True;2;False;0;0;10;100;1;15,96026829;7,555352386;13,61437;52,44597
22821;Berlin;Weekdays;463,9151164;Entire home/apt;False;False;4;False;0;0;10;96;2;6,070327683;0,342153316;13,36443;52,56778
22822;Berlin;Weekdays;155,4174067;Private room;False;True;2;False;1;0;10;100;1;1,841671832;0,577537221;13,40571;52,5386
22823;Berlin;Weekdays;484,7153407;Entire home/apt;False;False;6;False;1;0;10;94;3;5,366635455;0,336112922;13,35061;52,55007
22824;Berlin;Weekdays;341,9182948;Entire home/apt;False;False;6;False;0;1;10;94;2;1,19316259;0,422081826;13,399;52,524
22825;Berlin;Weekdays;341,9182948;Entire home/apt;False;False;6;False;0;1;9;93;3;1,193146602;0,422065187;13,399;52,524
22826;Berlin;Weekdays;532,3922595;Entire home/apt;False;False;6;False;1;0;9;85;3;5,514129038;0,356652126;13,34898;52,55097
22827;Berlin;Weekdays;501,0750678;Entire home/apt;False;False;2;False;0;0;10;93;0;1,309269392;0,142926765;13,3996;52,52904
22828;Berlin;Weekdays;399,8784706;Entire home/apt;False;False;4;False;1;0;10;96;1;0,415993848;0,081663244;13,41236;52,5207
22829;Berlin;Weekdays;301,7201084;Private room;False;True;2;False;0;0;9;100;1;5,759032831;0,368096734;13,43325;52,47267
22830;Berlin;Weekdays;179,7232869;Entire home/apt;False;False;2;False;0;1;9;77;1;1,193132282;0,422052274;13,399;52,524
22831;Berlin;Weekdays;119,4260073;Private room;False;True;2;False;0;0;8;91;1;6,223249251;0,377097322;13,43639;52,46881
